Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Happy Hours During Hours,Chrome 103.0.5060.53,,,2022-07-06 13:17:28,2022-07-06 13:17:42,"13,626s",PASSED
,,,,,,,
Test Cases/Happy Hours/happy-hours_promo-active,Chrome 103.0.5060.53,,,2022-07-06 13:17:29,2022-07-06 13:17:42,"13,319s",PASSED
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-07-06 13:17:29,2022-07-06 13:17:32,"2,981s",PASSED
"navigateToUrl(""https://r.pl/happy-hours"")",Chrome 103.0.5060.53,,,2022-07-06 13:17:32,2022-07-06 13:17:37,"4,838s",PASSED
maximizeWindow(),Chrome 103.0.5060.53,,,2022-07-06 13:17:37,2022-07-06 13:17:37,"0,283s",PASSED
"click(findTestObject(""HappyHoursPage/zamknijCiastka""))",Chrome 103.0.5060.53,,,2022-07-06 13:17:37,2022-07-06 13:17:38,"0,625s",PASSED
"verifyElementNotPresent(findTestObject(""HappyHoursPage/clock-module2""), 1)",Chrome 103.0.5060.53,,,2022-07-06 13:17:38,2022-07-06 13:17:39,"0,493s",PASSED
"verifyElementNotPresent(findTestObject(""HappyHoursPage/do-startu-kolejnej-promocji-pozostao""), 1)",Chrome 103.0.5060.53,,,2022-07-06 13:17:39,2022-07-06 13:17:39,"0,338s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/HappyHoursPage/pokaz-wszystkie-oferty-link""), 1)",Chrome 103.0.5060.53,,,2022-07-06 13:17:39,2022-07-06 13:17:39,"0,388s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/HappyHoursPage/pokaz-wszystkie-oferty-link""))",Chrome 103.0.5060.53,,,2022-07-06 13:17:39,2022-07-06 13:17:40,"0,376s",PASSED
"verifyElementText(findTestObject(""Object Repository/HappyHoursPage/pokaz-wszystkie-oferty-text""), ""POKAŻ WSZYSTKIE OFERTY"")",Chrome 103.0.5060.53,,,2022-07-06 13:17:40,2022-07-06 13:17:40,"0,417s",PASSED
"if (!(verifyElementPresent(findTestObject(""HappyHoursPage/bloczki-content-hh""), 1, OPTIONAL)))",Chrome 103.0.5060.53,,,2022-07-06 13:17:40,2022-07-06 13:17:40,"0,311s",PASSED
"verifyElementPresent(findTestObject(""HappyHoursPage/bloczki-content-hh""), 1)",Chrome 103.0.5060.53,,,2022-07-06 13:17:40,2022-07-06 13:17:41,"0,295s",PASSED
"verifyElementPresent(findTestObject(""HappyHoursPage/pierwszy-bloczek-hh""), 1)",Chrome 103.0.5060.53,,,2022-07-06 13:17:41,2022-07-06 13:17:41,"0,464s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/HappyHoursPage/pierwszy-bloczek-hh""))",Chrome 103.0.5060.53,,,2022-07-06 13:17:41,2022-07-06 13:17:42,"0,430s",PASSED
"verifyElementPresent(findTestObject(""HappyHoursPage/pokaz-wszystkie-oferty-link""), 1)",Chrome 103.0.5060.53,,,2022-07-06 13:17:42,2022-07-06 13:17:42,"0,300s",PASSED
closeBrowser(),Chrome 103.0.5060.53,,,2022-07-06 13:17:42,2022-07-06 13:17:42,"0,254s",PASSED
